id,word,pinyin_final,origin,lang,Unnamed: 6,rus_transcription
0,阿尔申,āěrshén,аршин,,,аршын
1,阿尔西非(合金),āěrxǐfēi,альсифер,,,ал’с’иф’эр
2,阿法林,āfǎlín,афалина,,,афал’ина
3,阿留米特,āliúmǐtè,алюмит,,,ал’ум’ит
4,阿依尔,āyi'ěr,аил,,,аил
5,阿札林,āzhálín,азарин,,,азар’ин
6,艾费勃,àifèibó,офеб(ы),,,оф’эп
7,艾米利通,àimǐlìtōng,эмиритон,,,эм’ир’итон
8,艾木兴(井),àimùxing(jíng),эмшер(ский колодец),!,,эмшэр
9,艾特纳(舞),àitènà(wǔ),этнэ,татарский,,этнэ
10,艾匹配(舞),àipìpèi(wǔ),эпипэ,татарский,,эп’ипэ
11,爱特罗尔,àitèluó'ěr,этрол,,,этрол
12,安诺(文化),ānnuò(wénhuà),анау(ская культура),,,анау
13,奥白尔塔斯(舞),àobái'ěrtǎsī(wǔ),обертас,,,аб’иртас
14,奥白列克(舞),àobáilièkè(wǔ),оберек,,,об’эр’ик
15,奥克索尔(油),àokèsuǒ'ěr(yóu),оксоль,,,аксол’
16,奥罗悲拉,àoluóběilā,оровела,,,аравэла
17,奥潘诺尔,àopānnuò'ěr,оппанол,,,апанол
18,奥司脱拉特,àosītuōlātè,астролит,,,астрал’ит
19,奥苏奥海(舞),àosūàohǎi(wǔ),осуохай,якутский,,осуохай’
20,奥西米那,àoximǐnā,осьмина,,,ас’м’ина
21,巴尔卡波祖克(笛),bā'ěrkǎpǒzǔkè(dí),паркапзук,армянский,,паркабзук
22,巴拉贝伦(枪),pālābèilún(qiāng),парабеллум,немецкий,,параб’элум
23,巴拉莱卡,bālāláikǎ,балалайка,,,балалай’ка
24,巴立克,bālìkè,парик,,,пар’ик
25,巴扬,bāyáng,баян,,,бай’ан
26,板都拉,bāndūlā,бандура,,,бандура
27,班都里,bāndūlǐ,пандури,грузинский,,пандур’и
28,贝尔科维次,bèi'ěrkēwéicì,берковец,,,б’эркав’иц
29,贝科夫(车刀),bèikēfū(chedao),(резец )Быкова,,,быкава
